kiln_id,category,date,avg_co2_tons_per_month,avg_pm25_kg_per_month
100000,PNAS,2022-11,101.63054882651414,268.335732913298
100000,PNAS,2022-12,304.89164647954243,805.0071987398941
100000,PNAS,2023-01,304.89164647954243,805.0071987398941
100000,PNAS,2023-02,304.89164647954243,805.0071987398941
100000,PNAS,2023-03,304.89164647954243,805.0071987398941
100000,PNAS,2023-04,294.728591596891,778.1736254485643
100001,PNAS,2022-11,101.63054882651414,268.335732913298
100001,PNAS,2022-12,304.89164647954243,805.0071987398941
100001,PNAS,2023-01,304.89164647954243,805.0071987398941
100001,PNAS,2023-02,304.89164647954243,805.0071987398941
100001,PNAS,2023-03,304.89164647954243,805.0071987398941
100001,PNAS,2023-04,294.728591596891,778.1736254485643
100002,PNAS,2022-11,101.63054882651414,268.335732913298
100002,PNAS,2022-12,304.89164647954243,805.0071987398941
100002,PNAS,2023-01,304.89164647954243,805.0071987398941
100002,PNAS,2023-02,304.89164647954243,805.0071987398941
100002,PNAS,2023-03,304.89164647954243,805.0071987398941
100002,PNAS,2023-04,294.728591596891,778.1736254485643
100003,PNAS,2022-11,101.63054882651414,268.335732913298
100003,PNAS,2022-12,304.89164647954243,805.0071987398941
100003,PNAS,2023-01,304.89164647954243,805.0071987398941
100003,PNAS,2023-02,304.89164647954243,805.0071987398941
100003,PNAS,2023-03,304.89164647954243,805.0071987398941
100003,PNAS,2023-04,294.728591596891,778.1736254485643
100004,PNAS,2022-11,101.63054882651414,268.335732913298
100004,PNAS,2022-12,304.89164647954243,805.0071987398941
100004,PNAS,2023-01,304.89164647954243,805.0071987398941
100004,PNAS,2023-02,304.89164647954243,805.0071987398941
100004,PNAS,2023-03,304.89164647954243,805.0071987398941
100004,PNAS,2023-04,294.728591596891,778.1736254485643
100005,PNAS,2022-11,101.63054882651414,268.335732913298
100005,PNAS,2022-12,304.89164647954243,805.0071987398941
100005,PNAS,2023-01,304.89164647954243,805.0071987398941
100005,PNAS,2023-02,304.89164647954243,805.0071987398941
100005,PNAS,2023-03,304.89164647954243,805.0071987398941
100005,PNAS,2023-04,294.728591596891,778.1736254485643
100006,PNAS,2022-11,101.63054882651414,268.335732913298
100006,PNAS,2022-12,304.89164647954243,805.0071987398941
100006,PNAS,2023-01,304.89164647954243,805.0071987398941
100006,PNAS,2023-02,304.89164647954243,805.0071987398941
100006,PNAS,2023-03,304.89164647954243,805.0071987398941
100006,PNAS,2023-04,294.728591596891,778.1736254485643
100007,PNAS,2022-11,101.63054882651414,268.335732913298
100007,PNAS,2022-12,304.89164647954243,805.0071987398941
100007,PNAS,2023-01,304.89164647954243,805.0071987398941
100007,PNAS,2023-02,304.89164647954243,805.0071987398941
100007,PNAS,2023-03,304.89164647954243,805.0071987398941
100007,PNAS,2023-04,294.728591596891,778.1736254485643
100008,PNAS,2022-11,101.63054882651414,268.335732913298
100008,PNAS,2022-12,304.89164647954243,805.0071987398941
100008,PNAS,2023-01,304.89164647954243,805.0071987398941
100008,PNAS,2023-02,304.89164647954243,805.0071987398941
100008,PNAS,2023-03,304.89164647954243,805.0071987398941
100008,PNAS,2023-04,294.728591596891,778.1736254485643
100009,PNAS,2022-11,101.63054882651414,268.335732913298
100009,PNAS,2022-12,304.89164647954243,805.0071987398941
100009,PNAS,2023-01,304.89164647954243,805.0071987398941
100009,PNAS,2023-02,304.89164647954243,805.0071987398941
100009,PNAS,2023-03,304.89164647954243,805.0071987398941
100009,PNAS,2023-04,294.728591596891,778.1736254485643
100010,PNAS,2022-11,101.63054882651414,268.335732913298
100010,PNAS,2022-12,304.89164647954243,805.0071987398941
100010,PNAS,2023-01,304.89164647954243,805.0071987398941
100010,PNAS,2023-02,304.89164647954243,805.0071987398941
100010,PNAS,2023-03,304.89164647954243,805.0071987398941
100010,PNAS,2023-04,294.728591596891,778.1736254485643
100011,PNAS,2022-11,101.63054882651414,268.335732913298
100011,PNAS,2022-12,304.89164647954243,805.0071987398941
100011,PNAS,2023-01,304.89164647954243,805.0071987398941
100011,PNAS,2023-02,304.89164647954243,805.0071987398941
100011,PNAS,2023-03,304.89164647954243,805.0071987398941
100011,PNAS,2023-04,294.728591596891,778.1736254485643
100012,PNAS,2022-11,101.63054882651414,268.335732913298
100012,PNAS,2022-12,304.89164647954243,805.0071987398941
100012,PNAS,2023-01,304.89164647954243,805.0071987398941
100012,PNAS,2023-02,304.89164647954243,805.0071987398941
100012,PNAS,2023-03,304.89164647954243,805.0071987398941
100012,PNAS,2023-04,294.728591596891,778.1736254485643
100013,PNAS,2022-11,101.63054882651414,268.335732913298
100013,PNAS,2022-12,304.89164647954243,805.0071987398941
100013,PNAS,2023-01,304.89164647954243,805.0071987398941
100013,PNAS,2023-02,304.89164647954243,805.0071987398941
100013,PNAS,2023-03,304.89164647954243,805.0071987398941
100013,PNAS,2023-04,294.728591596891,778.1736254485643
100014,PNAS,2022-11,101.63054882651414,268.335732913298
100014,PNAS,2022-12,304.89164647954243,805.0071987398941
100014,PNAS,2023-01,304.89164647954243,805.0071987398941
100014,PNAS,2023-02,304.89164647954243,805.0071987398941
100014,PNAS,2023-03,304.89164647954243,805.0071987398941
100014,PNAS,2023-04,294.728591596891,778.1736254485643
100015,PNAS,2022-11,101.63054882651414,268.335732913298
100015,PNAS,2022-12,304.89164647954243,805.0071987398941
100015,PNAS,2023-01,304.89164647954243,805.0071987398941
100015,PNAS,2023-02,304.89164647954243,805.0071987398941
100015,PNAS,2023-03,304.89164647954243,805.0071987398941
100015,PNAS,2023-04,294.728591596891,778.1736254485643
